id	l1	name
3010001001001001	3010	正数与负数
3010001001001002	3010	相反数
3010001001001003	3010	倒数
3010001001001004	3010	数轴
3010001001001005	3010	绝对值
3010001001001007	3010	平方根与算术平方根
3010001001001008	3010	立方根
3010001001002	3010	实数的分类
3010001001003	3010	实数的运算
3010001001004	3010	实数的大小比较
3010001001005	3010	科学计数法
3010001001007	3010	近似数
3010001002001	3010	整式的相关概念
3010001002002	3010	整式的运算及求值
3010001002003	3010	乘法公式
3010001002004	3010	因式分解
3010001002005	3010	幂的运算
3010001002006	3010	乘法公式的知二求二
3010001003002	3010	分式的计算
3010001003003	3010	分式的化简求值
3010001003004	3010	有取值范围的代数式
3010001003005	3010	数的推理
3010001004001	3010	二次根式有意义的条件
3010001004002	3010	二次根式的计算
3010001004003	3010	二次根式的化简
3010001004004	3010	二次根式的估值
3010002001001	3010	一元一次方程的解及其解法
3010002001002	3010	一次方程（组）的实际应用
3010002001003	3010	二元一次方程（组）的解及解法
3010002001004	3010	等式的性质
3010002003001	3010	分式方程的解及其解法
3010002003002	3010	分式方程的正数解、负数解问题
3010002003003	3010	分式方程的增根、无解问题
3010002003004	3010	分式方程的应用
3010002004001	3010	解一元二次方程
3010002004002	3010	一元二次方程根的判别式
3010002004003	3010	一元二次方程根与系数的关系
3010002004004	3010	一元二次方程的应用
3010002004005	3010	利用判别式求最值问题
3010002004006	3010	整体法解方程
3010002004007	3010	整数解问题
3010002005001	3010	解一元一次不等式（组）
3010002005002	3010	一元一次不等式组有解、无解问题
3010002005003	3010	一元一次不等式组的整数解个数问题
3010002005004	3010	一元一次不等式的性质
3010002005005	3010	一元一次不等式的应用
3010002005006	3010	已知不等式（组）的解求参数
3010003001001	3010	坐标与图形的位置
3010003001002	3010	函数有关概念及其意义
3010003001003	3010	根据实际情况判定函数的图象
3010003001004	3010	两点距离公式
3010003001005	3010	中点公式
3010003001006	3010	含参坐标
3010003001007	3010	平面直角坐标系中点的特征
3010003001008	3010	坐标与图形的性质
3010003001009	3010	函数图象与动点问题
3010003001010	3010	函数思想解决问题
3010003002001	3010	认识一次函数
3010003002002	3010	一次函数图象上点的特征
3010003002003	3010	一次函数增减性
3010003002004	3010	一次函数与不等式结合
3010003002005	3010	含参一次函数
3010003002006	3010	一次函数综合
3010003002007	3010	一次函数的应用
3010003002008	3010	一次函数图象与系数的关系
3010003003001	3010	二次函数的图象与性质
3010003003005	3010	二次函数的解析式
3010003003006001	3010	已知函数求增减性的范围
3010003003006002	3010	已知增减性的范围求对称轴的范围
3010003003006003	3010	双参
3010003003007001	3010	顶点处的最值
3010003003007002	3010	有范围的最值
3010003003007003	3010	区间，最值固定
3010003003007004	3010	隐含区间
3010003003008001	3010	已知对称轴，开口方向，比较大小
3010003003008002	3010	已知函数值大小，求对称轴范围
3010003003008003	3010	双函数作差法
3010003003009001	3010	与x轴的交点
3010003003009002	3010	两函数的交点
3010003003009003	3010	与线段的交点
3010003003010	3010	二次函数与方程结合
3010003003011001	3010	面积问题
3010003003011002	3010	实际应用
3010003003011003	3010	项目化问题
3010003003011004	3010	几何应用
3010003003013	3010	二次函数的综合
3010003003014	3010	含参数系数的二次函数问题
3010003003015	3010	分段函数
3010003003016001	3010	区间最值
3010003003016002	3010	比较大小
3010003003017	3010	新定义
3010003003018	3010	二次函数与不等式的结合
3010003004001	3010	反比例函数的表达式与图象
3010003004002	3010	反比例函数图象的增减性
3010003004003	3010	反比例函数|k|的几何性质
3010003004004002	3010	反比例等线段性质
3010003004004003	3010	反比例平行的性质
3010003004004004	3010	反比例函数等角的性质
3010003004004005	3010	反比例函数平行四边形的性质
3010003004004006	3010	反比例函数平方的性质
3010003004004007	3010	反比例函数折叠的性质
3010003004005	3010	反比例函数与一次函数结合
3010003004006	3010	反比例函数图象与系数的关系
3010003004007	3010	反比例函数与方程、不等式结合
3010003004008	3010	反比例与正比例结合
3010003004009	3010	反比例函数的应用
3010003004010	3010	新定义
3010004001001	3010	角、相交线
3010004001002	3010	平行线
3010004001003	3010	几何中的概念和基本事实
3010004002003	3010	全等三角形的判定
3010004002004	3010	角平分线，线段垂直平分线
3010004002005001	3010	通过对称构造全等三角形
3010004002005002	3010	一线三等角全等
3010004002005003	3010	手拉手全等
3010004002005004	3010	通过中线倍长构造全等
3010004002005005	3010	通过作平行构造全等
3010004002005006	3010	构造脚蹬脚全等
3010004002005007	3010	双垂直全等
3010004002005008	3010	半角模型
3010004002005009	3010	对角互补模型
3010004002005010	3010	弦图与全等
3010004002005011	3010	构造等腰直角三角形和平行四边形
3010004002007	3010	全等三角形的性质
3010004003001	3010	等腰三角形的概念与基本性质
3010004003002	3010	等腰三角形的三线合一
3010004003005	3010	直角三角形的性质
3010004003007	3010	七巧板问题
3010004004001	3010	相似的有关概念及性质
3010004004002001	3010	平行相似
